SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Sepal_petal_wid_len_diff,Sepal_petal_width_diff
5.5,2.4,3.7,1.0,1.7999999999999998,1.4
6.3,2.8,5.1,1.5,1.2000000000000002,1.2999999999999998
6.4,3.1,5.5,1.8,0.9000000000000004,1.3
6.6,3.0,4.4,1.4,2.1999999999999993,1.6
7.2,3.6,6.1,2.5,1.1000000000000005,1.1
5.7,2.9,4.2,1.3,1.5,1.5999999999999999
7.6,3.0,6.6,2.1,1.0,0.8999999999999999
5.6,3.0,4.5,1.5,1.0999999999999996,1.5
5.1,3.5,1.4,0.2,3.6999999999999997,3.3
7.7,2.8,6.7,2.0,1.0,0.7999999999999998
5.8,2.7,4.1,1.0,1.7000000000000002,1.7000000000000002
5.2,3.4,1.4,0.2,3.8000000000000003,3.1999999999999997
5.0,3.5,1.3,0.3,3.7,3.2
5.1,3.8,1.9,0.4,3.1999999999999997,3.4
5.0,2.0,3.5,1.0,1.5,1.0
6.3,2.7,4.9,1.8,1.3999999999999995,0.9000000000000001
4.8,3.4,1.9,0.2,2.9,3.1999999999999997
5.0,3.0,1.6,0.2,3.4,2.8
5.1,3.3,1.7,0.5,3.3999999999999995,2.8
5.6,2.7,4.2,1.3,1.3999999999999995,1.4000000000000001
5.1,3.4,1.5,0.2,3.5999999999999996,3.1999999999999997
5.7,3.0,4.2,1.2,1.5,1.8
7.7,3.8,6.7,2.2,1.0,1.5999999999999996
4.6,3.2,1.4,0.2,3.1999999999999997,3.0
6.2,2.9,4.3,1.3,1.9000000000000004,1.5999999999999999
5.7,2.5,5.0,2.0,0.7000000000000002,0.5
5.5,4.2,1.4,0.2,4.1,4.0
6.0,3.0,4.8,1.8,1.2000000000000002,1.2
5.8,2.7,5.1,1.9,0.7000000000000002,0.8000000000000003
6.0,2.2,4.0,1.0,2.0,1.2000000000000002
5.4,3.0,4.5,1.5,0.9000000000000004,1.5
6.2,3.4,5.4,2.3,0.7999999999999998,1.1
5.5,2.3,4.0,1.3,1.5,0.9999999999999998
5.4,3.9,1.7,0.4,3.7,3.5
5.0,2.3,3.3,1.0,1.7000000000000002,1.2999999999999998
6.4,2.7,5.3,1.9,1.1000000000000005,0.8000000000000003
5.0,3.3,1.4,0.2,3.6,3.0999999999999996
5.0,3.2,1.2,0.2,3.8,3.0
5.5,2.4,3.8,1.1,1.7000000000000002,1.2999999999999998
6.7,3.0,5.0,1.7,1.7000000000000002,1.3
4.9,3.1,1.5,0.2,3.4000000000000004,2.9
5.8,2.8,5.1,2.4,0.7000000000000002,0.3999999999999999
5.0,3.4,1.5,0.2,3.5,3.1999999999999997
5.0,3.5,1.6,0.6,3.4,2.9
5.9,3.2,4.8,1.8,1.1000000000000005,1.4000000000000001
5.1,2.5,3.0,1.1,2.0999999999999996,1.4
6.9,3.2,5.7,2.3,1.2000000000000002,0.9000000000000004
